#{"t_start": 1767870456.440601, "env_id": "LunarLander-v3"}
r,l,t
-89.271026,133,1169.321532
-130.562954,97,1169.395316
-95.021136,136,1169.506453
-90.74689,93,1169.571563
-161.097108,128,1169.669742
-45.099408,98,1169.749152
-94.912779,91,1169.818774
-150.366781,137,1169.925961
-57.19936,71,1169.978251
-128.96366,76,1170.040985
-112.236034,112,1170.127384
-145.663514,71,1170.177396
-180.945461,99,1170.252376
-121.073168,79,1170.314549
-114.881918,116,1170.399888
-93.765535,146,1170.511885
-257.018168,119,1170.599655
-82.344833,72,1170.656795
-52.453951,80,1170.72118
-95.169865,106,1170.795455
-336.2043,97,1170.865143
-89.805788,125,1170.958332
-109.4736,113,1171.045609
-89.224833,83,1171.109769
-126.922015,144,1171.22071
-118.451362,103,1171.301455
6.611904,147,1171.418423
-68.233493,153,1171.531335
-77.169252,79,1171.588801
-323.271484,124,1171.685609
-119.278954,95,1171.753558
-88.763222,131,1171.857993
-140.177365,139,1171.95923
-259.467826,84,1172.029177
-121.791167,121,1172.128852
-108.243214,91,1172.203034
-48.661711,104,1172.286361
-48.877044,64,1172.343413
-110.467035,83,1172.409032
-83.107954,138,1172.524638
-272.312036,152,1172.658868
-62.780428,114,1172.755513
-64.442235,81,1172.818721
-135.151123,93,1172.895967
-100.504156,90,1172.970979
-117.008694,119,1173.069151
-174.944776,91,1173.145405
-18.25751,100,1173.229131
-132.182599,122,1173.332048
-222.806595,94,1173.404661
-181.926313,125,1173.502831
-166.812865,117,1173.603418
-189.807968,99,1173.68329
-180.603482,95,1173.763415
-73.435367,105,1173.855446
-175.704947,96,1173.935734
-106.46046,121,1174.025315
-124.937427,113,1174.112702
-83.327514,70,1174.165168
-82.154468,80,1174.230143
-48.951317,82,1174.298074
-81.089957,85,1174.36155
-217.46108,128,1174.462706
-187.638805,90,1174.532575
-134.241362,114,1174.615373
-158.764904,92,1174.690158
-247.125415,96,1174.760703
-93.661527,104,1174.841396
-153.980343,101,1174.916986
-183.709649,89,1174.988825
-153.428671,100,1175.06663
-155.000174,81,1175.1277
-184.998313,119,1175.217842
-181.806988,126,1175.311992
-149.147524,106,1175.396054
-92.67292,74,1175.450463
-74.864048,114,1175.539347
-159.967788,114,1175.628735
-64.709428,72,1175.685451
-145.697667,98,1175.765102
20.672238,151,1271.852043
-116.833844,106,1272.030473
-106.740909,74,1272.142312
-126.212814,117,1272.324193
-91.363487,109,1272.498859
-215.399505,87,1272.634256
-150.185502,120,1272.832796
-116.769956,152,1273.072466
-139.897848,94,1273.20903
-97.258747,99,1273.36927
-175.504308,112,1273.536647
-35.158803,146,1273.757426
-318.112269,141,1273.97892
-109.000938,81,1274.111626
-273.792534,116,1274.28632
-91.373671,132,1274.487108
-161.497112,115,1274.66291
141.487288,1000,1276.268517
-72.54772,125,1276.460763
-126.327992,90,1276.592543
-273.486093,92,1276.738548
-134.380164,72,1276.854142
-230.510979,129,1277.067532
-285.98845,158,1277.325546
-115.063213,94,1277.476422
-57.335045,111,1277.648354
-100.704902,119,1277.835554
-107.849117,70,1277.95659
50.983034,81,1278.075699
-161.562738,115,1278.267444
-172.362131,118,1278.453474
-59.570527,81,1278.58314
-84.923541,115,1278.766207
-85.943821,139,1278.980134
-107.256276,80,1279.119647
-41.176886,98,1279.277482
-58.642052,79,1279.39804
-94.141472,74,1279.521729
-107.220335,123,1279.704583
-242.483975,136,1279.914403
-212.390433,152,1280.154771
-182.393121,140,1280.380296
-85.003601,123,1280.573077
-116.542869,135,1280.792961
29.786472,175,1281.068654
-182.563339,144,1281.308782
-31.721695,119,1281.521379
-83.389693,131,1281.736204
-224.240366,100,1281.89272
-95.522251,115,1282.072029
-181.898402,108,1282.242143
-284.619939,129,1282.43859
-17.724238,138,1282.668603
-111.637254,87,1282.805852
-184.826159,85,1282.946208
-89.943336,116,1283.102975
-76.084966,97,1283.254235
-73.943108,173,1283.539982
-86.384926,76,1283.662755
-107.0473,91,1283.801649
-73.916854,113,1283.969958
-85.250635,80,1284.104759
-214.417998,125,1284.309388
-57.492886,85,1284.454917
-114.439045,84,1284.602622
8.84857,124,1284.819022
-91.8313,66,1284.921283
-129.102268,102,1285.086123
-131.016628,100,1285.277589
-146.34198,131,1285.499356
-102.319045,94,1285.660021
-89.855314,136,1285.884158
-78.890375,141,1286.107816
-24.051382,154,1286.365531
-102.150498,115,1286.548622
-75.965837,152,1286.777158
-315.22173,118,1286.95842
-207.833907,129,1287.161151
-101.05956,125,1287.357427
-63.265202,108,1287.51818
-315.410509,127,1287.712789
-130.513716,95,1349.826319
-111.13145,120,1350.008108
-65.639879,127,1350.202939
-100.374965,69,1350.30823
-177.448977,94,1350.450459
-153.018206,109,1350.631466
-72.155958,80,1350.752643
-96.568881,135,1350.959587
-62.14257,129,1351.172742
-57.710678,92,1351.313524
-116.992586,99,1351.481188
-95.666096,94,1351.633553
-109.589602,81,1351.760613
-71.496338,131,1351.966266
-84.055616,69,1352.087203
-78.393654,103,1352.274332
-88.420957,84,1352.409256
-110.648223,126,1352.621711
-62.476343,78,1352.755522
-106.750316,83,1352.898576
-78.553138,81,1353.027613
-44.351565,78,1353.157754
-104.597114,102,1353.331536
-70.743709,101,1353.506557
-96.839141,79,1353.658409
-59.90694,113,1353.862051
-95.848647,107,1354.037016
-92.730175,139,1354.223052
-159.302789,155,1354.346482
-136.239389,169,1354.482867
-114.136982,107,1354.564593
-132.342476,102,1354.642431
-76.458226,144,1354.76003
-67.449185,143,1354.872433
-226.686702,140,1354.983503
-41.865451,165,1355.121792
47.188789,125,1355.239359
-116.948172,140,1355.353247
-78.063643,110,1355.449754
-182.319828,131,1355.562295
3.060892,98,1355.641176
-74.560432,196,1355.803379
23.523151,143,1355.932632
-125.97186,138,1356.037209
-95.576844,66,1356.087779
-92.819224,148,1356.207003
-106.829881,95,1356.279969
-5.950621,125,1356.388006
-202.712359,134,1356.494305
65.217496,106,1356.586498
-84.780483,142,1356.700449
-62.176424,83,1356.768451
-187.582434,122,1356.868276
-192.203124,128,1356.973281
6.832335,68,1357.025521
-82.993142,107,1357.112266
-42.214999,99,1357.194314
41.461682,164,1357.323522
-93.844638,119,1357.427269
-57.85309,87,1357.494631
-112.786935,117,1357.597939
-64.381806,71,1357.65117
-98.732884,136,1357.757977
-22.414612,111,1357.850513
-112.74735,184,1358.007069
-101.814002,107,1358.096702
-73.929677,79,1358.162133
-189.995857,171,1358.302589
-5.918106,153,1358.426678
-87.834568,87,1358.493504
-207.154429,69,1358.545486
-123.46001,126,1358.650497
-79.474546,112,1358.745782
-68.836878,97,1358.824548
-52.220316,112,1358.916507
-81.355788,87,1358.985624
-92.368863,74,1359.04931
-104.658198,118,1359.145667
-127.97726,141,1359.265584
-49.960114,106,1359.364149
-67.76969,143,1359.612425
-232.222717,163,1359.860683
-63.054012,166,1360.143439
-71.85626,133,1360.357481
-61.100595,76,1360.481453
-161.344405,115,1360.666992
-107.937291,146,1360.903338
-116.570088,123,1465.448137
-178.876868,107,1465.6257
-80.217957,162,1465.877757
-96.172406,127,1466.091047
-28.364615,168,1466.369982
-101.743008,122,1466.567239
-27.72647,147,1466.797424
-61.883432,194,1467.118511
-45.336916,131,1467.336238
